Pergunta,Resposta FAQ,Resposta com RAG,semantic_score,lexical_score,final_score,classificacao,"FS 0,5","FS 0,6","FS 0,7","FS 0,8","FS 0,9",label_manual,Threshold,RESUMO FINAL Média final: 0.6139,,
O que é o Recibo de Inscrição e o Número de Registro no CAR?,"O “Recibo de Inscrição do Imóvel Rural no CAR” emitido pelo SICAR, que inclui o 'Número de Registro no CAR', é o documento comprobatório da efetivação da inscrição no Sistema de Cadastro Ambiental Rural - SICAR. Formaliza entrega da documentação exigida para a análise da regularidade ambiental do imóvel rural e da localização da área de Reserva Legal (RL), mas não atesta a aprovação da localização da RL e nem serve como comprovação fundiária.

Deve ser armazenado em pasta de fácil acesso pois é essencial ao usuário para cadastrar-se na Central do Proprietário / Possuidor e para retificar as informações declaradas ao SICAR.

O Recibo de Inscrição é emitido ao usuário pelo SICAR em extensão '.pdf', ao ser recebido pelo SICAR o arquivo '.car'. Quando emitido ao usuário, esse documento '.pdf', pode ser salvo automaticamente no computador em 'Disco Local (C:) >> Users >> Nome do usuário >> Downloads'. Os Estados que utilizam Sistemas próprio ou Módulo de Cadastro do SICAR com receptor estadual necessitam efetuar integração com a base de dados do SICAR para a emissão do 'Recibo de Inscrição do Imóvel Rural no CAR'. Nesses casos, a emissão do Recibo não ocorrerá imediatamente após o envio do arquivo '.car' pelo usuário.

","Recibo de Inscrição no CAR:

É o comprovante de inscrição no Cadastro Ambiental Rural (CAR), emitido pelo sistema SICAR após a integração das informações do Simlam.
Confirma que a declaração do imóvel rural no CAR foi realizada.
Garante o cumprimento da Lei Federal nº 12.651/2012 no que diz respeito à inscrição no cadastro e ao acesso a crédito agrícola com instituições financeiras.
Não substitui licenças ou autorizações ambientais para exploração florestal ou supressão de vegetação, nem dispensa outras autorizações para atividades econômicas no imóvel.
Contém dados do imóvel rural (nome, município, UF, coordenadas geográficas, área total, módulos fiscais) e identificação do declarante (CPF, nome).
É instrumento suficiente para atender ao disposto no art. 78-A da Lei nº 12.651, de 2012.
Número de Registro no CAR:

É o código alfa numérico único e nacional gerado no momento da inscrição do imóvel rural no CAR pelo SICAR.
Composto pela identificação numeral sequencial, Unidade da Federação e código do município conforme classificação do IBGE.
Serve para identificar unicamente o imóvel rural cadastrado no sistema.
Resumo:

Termo	Definição
Recibo de Inscrição no CAR	Documento que comprova a inscrição do imóvel rural no CAR, emitido pelo SICAR após cadastro.
Número de Registro no CAR	Código único que identifica o imóvel rural no sistema CAR, gerado no momento da inscrição.","0,9059","0,0672","0,7381",aceitável,1,1,1,0,0,,,,,
Quais são os Estados que utilizam a versão padrão do Módulo de Cadastro do SICAR e quais possuem Sistemas próprios ou Módulo de Cadastro do SICAR com receptor estadual?,"Utilizam o Módulo de Cadastro do SICAR: Alagoas, Amapá, Amazonas, Ceará, Distrito Federal, Goiás, Maranhão, Minas Gerais, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Roraima, Santa Catarina e Sergipe.

Utilizam o Módulo de Cadastro do SICAR com receptor estadual: Acre, Pará, Rio Grande do Sul e Rondônia.

Utilizam sistemas próprios: Bahia, Espirito Santo, Mato Grosso, Mato Grosso do Sul, São Paulo e Tocantins.

Os Estados que utilizam Sistemas próprio ou Módulo de Cadastro do SICAR com receptor estadual (Receptor SICAR estadual) necessitam efetuar integração dos dados estaduais com a base do SICAR para a emissão do “Recibo de Inscrição do Imóvel Rural no CAR”, documento que comprova ao proprietário/possuidor a efetivação da inscrição no SICAR. Nesses casos, a emissão do Recibo não ocorrerá imediatamente após o envio do arquivo “.car” pelo usuário.",Não tenho informações sobre isso,"0,283","0,0281","0,232",ruim,0,0,0,0,0,,,,,
O que é o Demonstrativo da Situação do CAR?,"O Demonstrativo da Situação do CAR é um documento disponibilizado pelo SICAR que apresenta informações do cadastro do imóvel rural quanto:

à situação do cadastro (ativo, pendente ou cancelado);
à condição do andamento do processo de análise do cadastro (aguardando análise, em análise, analisado com pendências etc.);
aos dados declarados no CAR relativos à Cobertura do Solo, Reserva Legal, Áreas de Preservação Permanente e Áreas de Uso Restrito; e
à situação da Reserva Legal.
Em breve, o Demonstrativo da Situação do CAR também apresentará informações das áreas a recompor em Reserva Legal (RL), Áreas de Preservação Permanente e Áreas de Uso Restrito, bem como áreas de excedente / passivo de RL e das envolvidas em compensação.

Poderá ser consultado no SICAR, pelo link https://https://car.gov.br/#/consultar, ou pela Central do Proprietário / Possuidor, link https://https://car.gov.br/#/central/acesso.

","O Demonstrativo da Situação das Informações Declaradas no CAR é um relatório disponibilizado pelo SICAR que apresenta a situação das informações cadastradas no Cadastro Ambiental Rural (CAR) referentes às:

Áreas de Preservação Permanente (APP)
Áreas de uso restrito
Reserva Legal
Esse demonstrativo reflete as informações declaradas, retificadas ou alteradas pelo proprietário ou possuidor de imóveis rurais e pode ser consultado no sítio eletrônico www.car.gov.br.

Ele pode apresentar as seguintes situações relativas ao cadastro do imóvel rural:

Ativo, quando:
A inscrição no CAR foi concluída;
Estão sendo cumpridas as obrigações de atualização das informações;
As informações declaradas foram analisadas e consideradas regulares.
O demonstrativo serve para acompanhar a regularidade ambiental do imóvel rural e é fundamental para o controle, monitoramento e planejamento ambiental.

📌 Referências: Artigos 49, 50 e 51 do documento fornecido..
","0,9084","0,127","0,7521",aceitável,1,1,1,0,0,1,,,,
Qual é a diferença entre o “Recibo de Inscrição do Imóvel Rural no CAR” e o “Demonstrativo da Situação do CAR”?,"O Recibo de Inscrição emitido pelo SICAR nos termos do §1º do art. 3º do Decreto nº 8.235, de 05 de maio de 2014 constitui documento comprobatório da efetivação da inscrição no Sistema de Cadastro Ambiental Rural – SICAR e protocolo de entrega da documentação exigida para a análise da localização da área de Reserva Legal. Apresenta informações relativas ao domínio e titularidade declaradas.

O Recibo de Inscrição não atesta a aprovação da localização da Reserva Legal conforme §1º do art.14 da Lei nº 12.651 de 25 de maio de 2012, e não se serve à aplicação do §1º do artigo 12 e dos artigos 16 e 18 da mesma Lei.

O Demonstrativo da Situação do CAR disponibilizado conforme art. 20 do Decreto nº 8.235, de 05 de maio de 2014 refletirá a situação das declarações e informações cadastradas ou retificadas no CAR no ato de consulta, incluída a situação do imóvel, a situação da aprovação da localização da área de reserva legal prevista no §1º do art.14 da Lei nº 12.651 de 25 de maio de 2012, e os indicativos de ativos ou déficits de remanescentes de vegetação nativa em áreas de reserva legal e de preservação permanente. É disponibilizado pelo SICAR para consultas no próprio site, link https://https://car.gov.br/#/consultar, ou pela Central do Proprietário / Possuidor, link https://https://car.gov.br/#/central/acesso.

","Recibo de Inscrição do Imóvel Rural no CAR
O que é?
Um comprovante emitido pelo SICAR após a inscrição do imóvel rural no CAR.

Finalidade:
Confirma que a declaração do imóvel rural foi realizada no CAR, garantindo o cumprimento da Lei Federal nº 12.651/2012 no que diz respeito à inscrição e ao acesso ao crédito agrícola junto às instituições financeiras.

Características importantes:

É um documento de caráter declaratório e suficiente para atender o disposto na lei.
Não substitui licenças ou autorizações ambientais para exploração florestal ou supressão de vegetação.
Não é título para reconhecimento de propriedade ou posse.
Contém informações gerais do imóvel e do declarante, como localização, área, e dados pessoais.
Demonstrativo da Situação do CAR
O que é?
Um relatório disponibilizado pelo SICAR que apresenta a situação das informações declaradas no CAR relativas às Áreas de Preservação Permanente (APP), áreas de uso restrito e Reserva Legal.

Finalidade:
Permite acompanhar o status das declarações e informações cadastradas, retificadas ou alteradas pelo proprietário ou possuidor do imóvel rural.

Características importantes:

Pode ser consultado no sítio eletrônico oficial do CAR (http://www.car.gov.br).
Apresenta situações do cadastro como: ativo, pendente, suspenso, cancelado, entre outras.
Reflete a regularidade ou inconsistência das informações declaradas, auxiliando no monitoramento e controle ambiental.
Resumo da diferença
Aspecto	Recibo de Inscrição do CAR	Demonstrativo da Situação do CAR
Natureza	Comprovante de inscrição declaratória	Relatório de status e situação das informações
Emissor	SICAR após inscrição no CAR	SICAR, disponível online
Finalidade	Confirmação da inscrição e cumprimento legal	Monitoramento da regularidade e atualização
Substitui licença ambiental?	Não	Não
Consulta	Documento entregue ao declarante	Consulta pública via site oficial
Indica situação do cadastro?	Não diretamente	Sim, mostra status como ativo, pendente, cancelado, etc.
","0,8852","0,0648","0,7211",aceitável,1,1,1,0,0,1,,,,
Qual é a diferença entre o Protocolo de preenchimento e Recibo de Inscrição do Imóvel Rural no CAR?,"O Protocolo é o documento que representa que a declaração do Módulo de Cadastro do SICAR foi preenchida e que o arquivo '.car' foi gerado, ao passo que o Recibo é o documento que comprova o envio com sucesso dessas informações à base do SICAR e, por consequência, a efetivação da inscrição do imóvel rural no CAR.","Protocolo de preenchimento (Solicitação de Inscrição no CAR)
É um documento emitido no momento da inscrição inicial do imóvel rural no CAR, gerado pelo sistema Simlam e integrado ao Sicar.
Representa a inscrição provisória do imóvel no CAR, válida para todos os fins previstos em lei até que haja análise e manifestação do órgão competente (Idaf).
Serve como uma solicitação formal de inscrição e contém as informações básicas do declarante, localização e área do imóvel.
Para manter sua validade, o declarante deve apresentar a documentação exigida no prazo estabelecido.
Pode ter sua validade suspensa ou cancelada caso sejam constatadas irregularidades.
Não é um documento definitivo, pois ainda depende da análise e validação técnica.
Recibo de Inscrição do Imóvel Rural no CAR
É o comprovante final da inscrição no CAR, emitido pelo Sicar após a integração e análise das informações declaradas.
Confirma que a declaração do imóvel rural no CAR foi realizada e está em conformidade com a Lei nº 12.651/2012.
Representa o cumprimento legal da inscrição e permite o acesso a benefícios como crédito agrícola junto a instituições financeiras.
Não substitui nenhuma licença ou autorização ambiental para exploração ou supressão de vegetação.
Indica que o imóvel está inscrito oficialmente no CAR, mas não constitui título de propriedade ou posse.
O recibo é um documento mais completo e definitivo em relação ao protocolo inicial.
Resumo da diferença principal:
Aspecto	Protocolo de Preenchimento	Recibo de Inscrição no CAR
Natureza	Inscrição provisória / solicitação inicial	Comprovante definitivo da inscrição
Emissão	Imediata após preenchimento no sistema	Após análise e integração dos dados
Validade	Válido até análise e manifestação do órgão	Documento oficial que confirma a inscrição
Função	Confirma o início do processo de inscrição	Confirma o cumprimento legal da inscrição
Substitui licença ambiental?	Não	Não","0,7906","0,0391","0,6403",fraco,1,1,0,0,0,1,,,,
"Durante a aquisição ou venda de um imóvel rural quais são os procedimentos, em relação ao CAR, que devem ser observados?","Primeiramente, em relação ao CAR, recomenda-se como procedimento, solicitar ao vendedor a cópia ou o número do 'Recibo de Inscrição do Imóvel Rural no CAR'; e verificar, por meio do Demonstrativo da Situação do CAR, a situação das declarações e informações cadastradas ou retificadas, em especial, a situação da aprovação da localização da área de Reserva Legal e dos indicativos de ativos ou déficits de remanescentes de vegetação nativa em áreas de Reserva Legal e de Preservação Permanente.

A área de Reserva Legal deverá ser registrada no órgão ambiental competente por meio de inscrição no CAR, sendo vedada a alteração de sua destinação, nos casos de transmissão, a qualquer título, ou de desmembramento, com as exceções previstas em Lei. A aprovação da localização da Reserva Legal é fundamental aos procedimentos de compra e venda, uma vez que, em caso de fracionamento do imóvel rural, a qualquer título, será considerada, para fins de definição da área mínima de reserva, a área do imóvel antes do fracionamento.

Por meio do Demonstrativo da Situação do CAR também podem ser verificadas outras restrições do imóvel rural, como sobreposições com outros imóveis rurais, com Terras Indígenas, com Unidades de Conservação da Natureza, e com áreas embargadas pelos órgãos de controle e fiscalização ambiental

Essa verificação é feita no SICAR, link https://https://car.gov.br/#/consultar, inserindo o número do Recibo de Inscrição do Imóvel Rural no CAR ou número do Protocolo de preenchimento. Uma vez efetivada a negociação do imóvel rural, o novo proprietário ou possuidor deve assegurar-se que a inscrição no CAR seja retificada para alteração dos dados referentes à transação, incluída a atualização dos dados referentes aos novos proprietários.

","Procedimentos no CAR em casos de aquisição ou venda de imóvel rural:

Atualização do CAR: Quando ocorre alteração de natureza dominial ou possessória, como na compra ou venda do imóvel rural, o proprietário ou possuidor deve realizar a atualização dos dados no CAR. Essa atualização é obrigatória e deve ser feita junto ao órgão competente, conforme disposto no Art. 40.

Retificação do CAR: Caso haja mudança nos dados do proprietário, do imóvel e/ou no projeto geográfico, é obrigatória a retificação do CAR, protocolada no órgão ambiental competente (Art. 4º, § 2º).

Prazo para atualização: A atualização deve ser feita sempre que houver alteração dominial ou possessória, e a inscrição no CAR é condição para adesão ao Programa de Regularização Ambiental (PRA), que deve ser requerida dentro dos prazos legais (Art. 36 e Art. 31).

Responsabilidade: O declarante é responsável pelas informações prestadas no CAR, e pode incorrer em sanções penais e administrativas se fornecer dados falsos ou omissos (Art. 6º, § 1º).

Cancelamento e novo cadastro: No caso de desmembramento ou fracionamento do imóvel rural, o CAR da nova área deve ser criado a partir de novo requerimento, tornando o CAR anterior inválido até a atualização (Art. 36, § 1º e Art. 4º, § 3º).

Documentação necessária: Para inscrição ou atualização, devem ser apresentados dados cadastrais do proprietário, comprovação da propriedade ou posse, planta georreferenciada do imóvel e demais informações ambientais (Art. 3º).

Resumo prático:

Atualize o CAR imediatamente após a compra ou venda do imóvel rural.
Protocole a retificação junto ao órgão ambiental municipal, estadual ou federal competente.
Forneça documentação correta e planta georreferenciada atualizada.
Mantenha o cadastro correto para assegurar a regularidade ambiental e possibilidade de adesão ao PRA.","0,8457","0,038","0,6842",fraco,1,1,0,0,0,1,,,,
O que é o arquivo de extensão “.car”?,"O arquivo de extensão '.car' é o arquivo gerado pelo Módulo de Cadastro do SICAR, ao gravar para envio um cadastro finalizado. O envio do arquivo de extensão '.car' depende de acesso à internet, e poderá ser feito no Módulo de Cadastro do SICAR, botão “ENVIAR”, ou no SICAR, aba 'ENVIAR', link https://car.gov.br/#/enviar.

O sucesso no envio desse arquivo é confirmado pelo 'Recibo de Inscrição do Imóvel Rural no CAR' emitido pelo SICAR em extensão '.pdf', é o documento comprobatório da efetivação da inscrição no Sistema de Cadastro Ambiental Rural - SICAR.",Não tenho informações sobre isso.,"0,2374","0,0537","0,2007",ruim,0,0,0,0,0,0,,,,
Onde acesso os Manuais do CAR?,"No caso os sistemas desenvolvidos pelo Serviço Florestal Brasileiro, os Manuais do CAR estão disponíveis no SICAR, aba “Atendimento”, no link https://https://car.gov.br/#/suporte. Caso existam dúvidas que não forem atendidas pelos Manuais, relativas a inscrição, consulta e acompanhamento da situação da regularização ambiental de seus imóveis rurais, solicite ajuda ao órgão estadual competente em que se localiza o imóvel. Contatos disponíveis em https://car.gov.br/#/contatos.

","De acordo com o documento fornecido, os manuais do CAR podem ser acessados no portal do SIMLAM, conforme mencionado no trecho:

Roteiro Orientativo para Inscrição no CAR disponível no portal do SIMLAM.
Além disso, para acesso aos serviços relacionados ao CAR, há o link do Conecta cidadão:

https://conectacidadao.es.gov.br/servico/42df6827-e704-40a7-8d8f-b1efe5448dcb/area-florestal-e-licenciamento-ambiental-cadastro-ambiental-rural-car","0,7697","0,0647","0,6287",fraco,1,1,0,0,0,1,,,,
"Como atualizar o Módulo de Cadastro e não perder os cadastros “em andamento” ou “concluídos”, porém não enviados ao SICAR?","Para atualizar o Módulo de Cadastro e não perder os cadastros “em andamento” ou “concluídos”, porém não enviados ao SICAR, a atualização deverá ser feita pelo botão “Atualizar” do Módulo de Cadastro instalado em seu computador. Caso a versão atualizada do aplicativo seja obtida diretamente do site e instalada novamente no computador, sobre a versão já instalada, os CAR preenchidos serão perdidos.

Para isso, o computador precisará de conexão à internet. Caso o Módulo de Cadastro não esteja atualizado, após clicar no botão mencionado, será exibida uma mensagem e então efetuado o download do pacote de atualizações que deverá ser instalado no computador. É essencial solicitar a atualização de versão a versão até o sistema apresentar a mensagem “O sistema já está atualizado”, dessa forma é possível saber se o Módulo de Cadastro já está com a versão atual.","Como atualizar o Módulo de Cadastro sem perder cadastros em andamento ou concluídos

    Manter sempre a solicitação válida anterior ao encerramento do prazo para direito à adesão ao PRA, mesmo que seja gerado um novo código para o empreendimento. Isso garante a manutenção do direito à adesão ao Programa de Regularização Ambiental (PRA).
    Deve ser providenciada a importação do requerimento da solicitação válida sem código de empreendimento.
    O requerimento importado deve ser protocolado e apensado ao processo já existente da propriedade, mesmo que haja diferentes códigos de empreendimento.
    Caso as informações da solicitação mantida sejam divergentes da pendente, deve ser cadastrada uma nova solicitação de inscrição para retificação, utilizando o novo código de empreendimento gerado.
    Deve ser solicitada à SREG a invalidação da solicitação pendente ou reprovada, visto que não foi gerado número SICAR, necessitando apenas de solicitação do técnico do Idaf.
    Não descartar ou cancelar solicitações iniciais para manter o histórico e evitar perda de benefícios associados ao PRA.

Esse procedimento evita erros que possam gerar a necessidade de cancelamento e mantém o histórico e a validade dos cadastros no sistema.","0,7517","0,0683","0,6151",fraco,1,1,0,0,0,1,,,,
É necessário apresentar documentos comprobatórios?,"Os documentos comprobatórios das informações declaradas poderão ser solicitados, a qualquer tempo, pelo órgão competente, e poderão ser fornecidos por meio digital. No processo de análise das informações declaradas no CAR, o órgão competente poderá realizar vistorias no imóvel rural, bem como solicitar do proprietário ou possuidor rural a revisão das informações declaradas e os respectivos documentos comprobatórios. Caso detectadas pendências ou inconsistências nas informações declaradas e nos documentos apresentados no CAR, o órgão responsável poderá notificar o requerente para que preste informações complementares ou promova a correção e adequação das informações prestadas.

","Sim, é necessário apresentar documentos comprobatórios para o Cadastro Ambiental Rural (CAR). Conforme o documento fornecido:

Os documentos comprobatórios relativos às informações declaradas no CAR podem ser solicitados pelo órgão competente a qualquer momento e podem ser fornecidos por meio digital.
Para a inscrição no CAR, o proprietário ou possuidor rural deve apresentar documentos como comprovação da propriedade ou posse, croqui indicando perímetro do imóvel, áreas de preservação, reserva legal, entre outros.
Em caso de pendências ou inconsistências, o órgão responsável notificará o requerente para que apresente informações complementares ou corrija as informações, sob pena de cancelamento da inscrição.
Além disso, para assinatura do Termo de Adesão Institucional para apoio ao CAR, órgãos e entidades devem apresentar documentação específica, como contrato social, CPF, documento de identidade, comprovante de vinculação, entre outros.
Portanto, sim, a apresentação de documentos comprobatórios é uma etapa fundamental para a validação e regularização do CAR. 📄✅.","0,7952","0,053","0,6467",fraco,1,1,0,0,0,1,,,,
Quais são os dados do imóvel rural a serem declarados no CAR?,"Os dados do imóvel rural a serem declarados na inscrição no CAR devem retratar a realidade do imóvel rural no momento da declaração. A contemplar as seguintes informações:

identificação do proprietário ou possuidor do imóvel rural;
comprovação da propriedade ou posse rural;
planta georreferenciada da área do imóvel, contendo a indicação das coordenadas geográficas com pelo menos um ponto de amarração do perímetro do imóvel e o perímetro das áreas de servidão administrativa, e a informação da localização das áreas de remanescentes de vegetação nativa, das Áreas de Preservação Permanente, das áreas de uso restrito, das áreas consolidadas e, caso existente, a localização da Reserva Legal.
Nos casos referentes à inscrição no CAR de imóveis até 4 módulos fiscais, que desenvolva atividades agrossilvipastoris, bem como de áreas tituladas de povos e comunidades tradicionais, que façam uso coletivo do seu território, poderá ser apresentado um croqui, indicando a área do imóvel rural, as Áreas de Preservação Permanente, as áreas de remanescentes de vegetação nativa que formam a Reserva Legal, as áreas de servidões administrativas, áreas consolidadas e as áreas de uso restrito, quando houver.

Deverão ser apresentados separadamente os dados referentes aos demais proprietários ou possuidores vinculados ao imóvel além daquele responsável pela inscrição, bem como o detalhamento das informações comprobatórias de todas as propriedades ou posses que compõem o imóvel rural, contemplando todos os envolvidos.

Para atendimento da elaboração da representação gráfica, planta ou croqui, do imóvel rural, poderão ser utilizadas imagens de satélite ou outros métodos disponíveis.

A localização e a delimitação sobre imagens georreferenciadas de áreas de remanescentes de vegetação nativa deverão ser indicadas sobre toda a área do imóvel rural, inclusive, sobre:

Áreas de Preservação Permanente;
áreas de uso restrito; e
áreas de Reserva Legal.
A localização e a delimitação sobre imagens georreferenciadas das Áreas de Preservação Permanente deverão observar:

as áreas definidas no art. 4 º da Lei n º 12.651, de 2012;
as áreas criadas entorno de reservatório d'água artificial, nos termos do art. 5 º da Lei n º 12.651, de 2012.
A localização e a delimitação sobre imagens georreferenciadas de áreas de uso restrito deverão observar os critérios descritos nos arts. 10 e 11 da Lei n º 12.651, de 2012, e, ainda:

nas propriedades localizadas em áreas de pantanais e planícies pantaneiras deverão ser indicadas, além do perímetro da área destinada à composição da Reserva Legal, as Áreas de Preservação Permanente consolidadas até 22 de julho de 2008; e
declarar as áreas com topografia com inclinação entre 25 º e 45 º
A localização e a delimitação sobre imagens georreferenciadas de áreas consolidadas deverão indicar:

áreas consolidadas em Áreas de Preservação Permanentes e Reserva Legal até 22 de julho de 2008, conforme o disposto no art. 61-A da Lei n º 12.651, de 2012; e
as áreas de uso restrito, conforme o disposto nos arts. 10 e 11 da Lei n º 12.651, de 2012.
A localização e a delimitação sobre imagens georreferenciadas de áreas de Reserva Legal deverão observar os seguintes critérios:

o cálculo da área de Reserva Legal dos imóveis que apresentem as áreas de servidão administrativa, será o resultado da exclusão dessas do somatório da área total do imóvel rural;
para a área de Reserva Legal que já tenha sido averbada na matrícula do imóvel, ou no Termo de Compromisso, quando se tratar de posse, poderá o proprietário ou possuidor informar, em ambos os casos, no ato da inscrição, as coordenadas do perímetro da Reserva Legal ou comprovar por meio da apresentação da certidão de registro de imóveis onde conste a averbação; e
para os casos em que houve supressão da vegetação, antes de 22 de julho de 2008, e que foram mantidos os percentuais de Reservas Legais previstos na legislação em vigor à época, os proprietários ou possuidores de imóveis rurais deverão comprovar que a supressão da vegetação ocorreu conforme disposto no art. 68 da Lei n º 12.651, de 2012.
A localização e a delimitação sobre imagens georreferenciadas de áreas de Reserva Legal nos imóveis rurais que detinham, em 22 de julho de 2008, área de até 4 (quatro) módulos fiscais e que possuam remanescente de vegetação nativa em percentuais inferiores ao previsto no art. 12 da Lei n º 12.651, de 2012, será descrita sobre a área ocupada com a vegetação nativa existente em 22 de julho de 2008, vedadas novas conversões para uso alternativo do solo, conforme disposto no art. 67 da Lei n º 12.651, de 2012.

Para cumprimento da manutenção da área de Reserva Legal, nas pequenas propriedades ou posses rurais familiares, poderão ser computadas as áreas com plantios de árvores frutíferas, ornamentais ou industriais, compostas por espécies exóticas, cultivadas em sistema intercalar ou em consórcio com espécies nativas da região em sistemas agroflorestais, conforme disposto no art. 54 da Lei n º 12.651, de 2012.

Nos casos em que as Reservas Legais não atendam aos percentuais mínimos estabelecidos no art. 12 da Lei 12.651/2012, o proprietário ou possuidor rural poderá solicitar a utilização, caso os requisitos estejam preenchidos, isolada ou conjuntamente, dos mecanismos previstos nos arts. 15, 16 e 66 da Lei n º 12.651, de 2012, para fins de alcance do percentual, quais sejam:

o cômputo das Áreas de Preservação Permanente no cálculo do percentual da Reserva Legal;
a instituição de regime de Reserva Legal em condomínio ou coletiva entre propriedades rurais;
a recomposição;
a regeneração natural da vegetação; ou
a compensação da Reserva Legal
O proprietário ou possuidor de imóvel rural que não dispõe dos percentuais estabelecidos nos incisos I e II do art. 12 da Lei n º 12.651, de 2012 e que deseje utilizar a compensação de Reserva Legal em Unidade de Conservação, conforme previsto no inciso III do § 5 º do art. 66 da mesma Lei, poderá indicar no ato da sua inscrição a pretensão de adoção dessa alternativa para regularização, conforme disposto no art. 26, desta Instrução Normativa.

Os proprietários ou possuidores de imóveis rurais que já compensaram a Reserva Legal em outro imóvel, em qualquer das modalidades, deverão indicar no ato da inscrição o número de inscrição no CAR do imóvel de origem da Reserva Legal ou a identificação do proprietário ou possuidor do imóvel rural.

Para o imóvel rural que contemple mais de um proprietário ou possuidor, pessoa física ou jurídica, deverá ser feita apenas uma única inscrição no CAR, com indicação da identificação correspondente a todos os proprietários ou possuidores.

Os proprietários ou possuidores de imóveis rurais, que dispõem de mais de uma propriedade ou posse em área contínua, deverão efetuar uma única inscrição para esses imóveis.

Para o cumprimento dos percentuais da Reserva Legal, bem como para a definição da faixa de recomposição de Áreas de Preservação Permanente, previstos nos arts. 12 e 61-A da Lei n º 12.651, de 2012, o proprietário ou possuidor deverá inscrever a totalidade das áreas.

Quando o imóvel rural tiver seu perímetro localizado em mais de um ente federado, a inscrição no CAR dar-se-á naquele que contemple o maior percentual de sua área, em hectare.

Diante do desmembramento ou fracionamento de imóvel rural já cadastrado no CAR, o proprietário ou possuidor responsável deverá promover a atualização do cadastro realizado. Para o imóvel rural originado do desmembramento ou fracionamento, o proprietário ou possuidor de imóvel rural deverá realizar nova inscrição.

O proprietário de imóvel rural que pretende destinar as áreas excedentes de Reserva Legal, parcial ou integralmente, para a compensação de Reserva Legal, conforme previsto no art. 66 da Lei n º 12.651, de 2012, poderá declarar essa intenção no ato da sua inscrição.

Será facultado ao proprietário ou possuidor de imóvel rural declarar no CAR os autos de infração emitidos pelos órgãos competentes, anteriores a 22 de julho de 2008, referentes ao imóvel rural cadastrado, conforme estabelecido no art. 60 da Lei n º 12.651, de 2012.

As informações declaradas no CAR deverão ser atualizadas pelo proprietário ou possuidor rural sempre que houver notificação dos órgãos competentes ou quando houver alteração de natureza dominial ou possessória, mediante autorização do órgão competente.","Olá! 😊 Sobre os dados do imóvel rural a serem declarados no Cadastro Ambiental Rural (CAR), conforme o documento fornecido, devem ser informados:

Dados do imóvel rural no CAR:

Nome do imóvel rural
Município
Unidade da Federação (UF)
Coordenada geográfica do centroide do imóvel rural (Latitude e Longitude)
Área total (hectares) do imóvel rural
Módulos fiscais
Planta georreferenciada do perímetro do imóvel rural
Áreas de interesse social e de utilidade pública
Áreas de remanescentes de vegetação nativa
Área de Reserva Legal
Áreas de Preservação Permanente
Áreas de uso restrito
Áreas consolidadas
Áreas de servidão administrativa
Áreas de compensação
Além disso, devem ser apresentados os dados cadastrais do proprietário ou possuidor rural e do responsável técnico, quando houver.

Essas informações devem ser declaradas com base em documentos e projetos geográficos que garantam a precisão do cadastro.","0,8341","0,0205","0,6714",fraco,1,1,0,0,0,1,,,,
É obrigatório declarar na inscrição os dados de outros proprietários ou possuidores vinculados ao mesmo imóvel?,"Sim, os dados referentes aos demais proprietários ou possuidores vinculados ao imóvel além daquele responsável pela inscrição, bem como o detalhamento das informações comprobatórias de identificação dos proprietários/ possuidores, e de todas as propriedades ou posses que compõem o imóvel rural, deverão ser apresentados separadamente, contemplando todos os envolvidos.","Sim, é obrigatório declarar na inscrição os dados referentes aos demais proprietários ou possuidores vinculados ao imóvel além daquele responsável pela inscrição. Essas informações devem ser apresentadas separadamente, contemplando todos os envolvidos, conforme o Art. 15 do documento.

Resumo:

Deve-se informar todos os proprietários ou possuidores vinculados ao imóvel rural.
As informações devem ser apresentadas separadamente para cada um.","0,8697","0,0954","0,7149",aceitável,1,1,1,0,0,1,,,,
